Afghanistan                Kabul
Albania                Tirana         Tirane
Algeria                        Algiers
Andorra                Andorra la Vella
Angola                        Luanda
Antigua Barbuda        Saint John's
Argentina                Buenos Aires
Armenia                Yerevan
Australia                Canberra
Austria                        Vienna
Azerbaijan                Baku
Bahamas                Nassau
Bahrain                Manama
Bangladesh                Dhaka
Barbados                Bridgetown
Belarus                Minsk
Belgium                Brussels
Belize                        Belmopan
Benin                        Porto Novo[1]
Bhutan                        Thimphu
Bolivia                        Sucre
Bosnia                      Sarajevo
Botswana                Gaborone
Brazil                        Brasilia
Brunei                        Bandar Seri Begawan
Bulgaria                Sofia
Burkina Faso                Ouagadougou
Burundi                Gitega
Cambodia                Phnom Penh
Cameroon                Yaounde
Canada                Ottawa
Cape Verde                Praia
Central African        Bangui
Chad                        N'Djamena
Chile                        Santiago
China                        Beijing
Colombia                Bogota
Comoros                Moroni
Congo                        Kinshasa
Costa Rica                San Jose
Côte d'Ivoire                   Yamoussoukro
Croatia                        Zagreb
Cuba                        Havana
Cyprus                        Nicosia
Czech Republic        Prague
Denmark                Copenhagen
Djibouti                Djibouti
Dominica                Roseau
Dominican                   Santo Domingo
East Timor                Dili
Ecuador                Quito
Egypt                        Cairo
El Salvador                San Salvador
England[6]                London
Guinea                      Malabo
Eritrea                        Asmara
Estonia                Tallinn
Eswatini                Mbabane
Ethiopia                Addis Ababa
Micronesia                Palikir
Fiji                        Suva
Finland                Helsinki
France                        Paris
Gabon                        Libreville
Gambia                Banjul
Georgia                Tbilisi
Germany                Berlin
Ghana                        Accra
Greece                Athens
Grenada                Saint George's
Guatemala                Guatemala City
Guinea                        Conakry
Guinea-Bissau        Bissau
Guyana                Georgetown
Haiti                        Port au Prince
Honduras                Tegucigalpa
Hungary                Budapest
Iceland                        Reykjavik
India                        New Delhi
Indonesia                Jakarta
Iran                        Tehran
Iraq                        Baghdad
Ireland                        Dublin
Israel                        Jerusalem
Italy                        Rome
Jamaica                Kingston
Japan                        Tokyo
Jordan                        Amman
Kazakhstan                Astana
Kenya                        Nairobi
Kiribati                        Tarawa Atoll
Kosovo                Pristina
Kuwait                        Kuwait City
Kyrgyzstan                Bishkek
Laos                        Vientiane
Latvia                        Riga
Lebanon                Beirut
Lesotho                Maseru
Liberia                        Monrovia
Libya                        Tripoli
Liechtenstein                Vaduz
Lithuania                Vilnius
Luxembourg                Luxembourg
Madagascar                Antananarivo
Malawi                        Lilongwe
Malaysia                Kuala Lumpur
Maldives                Male
Mali                        Bamako
Malta                        Valletta
Marshall Isles                Majuro
Mauritania                Nouakchott
Mauritius                Port Louis
Mexico                        Mexico City
Moldova                Chisinau
Monaco                Monaco
Mongolia                Ulaanbaatar
Montenegro                Podgorica
Morocco                Rabat
Mozambique                Maputo
Myanmar                Nay Pyi Taw
Namibia                Windhoek
Nepal                        Kathmandu
Netherlands                Amsterdam
New Zealand                Wellington
Nicaragua                Managua
Niger                        Niamey
Nigeria                        Abuja
North Korea                Pyongyang
Macedonia                Skopje
Ireland                     Belfast
Norway                Oslo
Oman                        Muscat
Pakistan                Islamabad
Palau                        Melekeok
Palestine                Jerusalem        
Panama                Panama City
Papua Guinea                Port Moresby
Paraguay                Asuncion
Peru                        Lima
Philippines                Manila
Poland                        Warsaw
Portugal                Lisbon
Qatar                        Doha
Romania                Bucharest
Russia                        Moscow
Rwanda                Kigali
Saint Kitts                 Basseterre
Saint Lucia                Castries
Saint Vincent                Kingstown
Samoa                        Apia
San Marino                San Marino
Sao Tome                    Sao Tome
Saudi Arabia                Riyadh
Scotland                Edinburgh
Senegal                Dakar
Serbia                        Belgrade
Seychelles                Victoria
Sierra Leone                Freetown
Singapore                Singapore
Slovakia                Bratislava
Slovenia                Ljubljana
Solomon Islands        Honiara
Somalia                Mogadishu
South Africa                Cape Town
South Korea                Seoul
South Sudan                Juba
Spain                        Madrid
Sri Lanka                Sri Jayawardenapura Kotte
Sudan                        Khartoum
Suriname                Paramaribo
Sweden                Stockholm
Switzerland                Bern
Syria                        Damascus
Taiwan                        Taipei
Tajikistan                Dushanbe
Tanzania                Dodoma
Thailand                Bangkok
Togo                        Lome
Tonga                        Nuku'alofa
Trinidad Tobago        Port of Spain
Tunisia                        Tunis
Turkey                        Ankara
Turkmenistan                Ashgabat
Tuvalu                        Funafuti
Uganda                Kampala
Ukraine                Kiev
United Emirates        Abu Dhabi
United Kingdom        London
United States                Washington D.C.
Uruguay                Montevideo
Uzbekistan                Tashkent
Vanuatu                Port Vila
Vatican City                Vatican City
Venezuela                Caracas
Vietnam                Hanoi
Wales[26]                Cardiff
Yemen                        Sana'a
Zambia                Lusaka
Zimbabwe                Harare
